institution,overall_score_2018,overall_score_2019,overall_score_2021,overall_score_2023,overall_score_2025,overall_score_2026
UNIVERSITY OF ABERDEEN,52.7,46.6,44.6,41.496323978705576,37.49818699705559,34.64032846684418
UNIVERSITY OF BATH,52.6,48.6,47.0,45.65230327108396,44.03210780465727,42.07471428051027
NATIONAL TSING HUA UNIVERSITY,52.4,48.0,46.8,45.833470680629965,45.743424851063686,44.16594202178185
NEWCASTLE UNIVERSITY,52.4,50.7,50.9,54.662631929607755,49.579961049517784,48.13347404456528
UNIVERSITY OF BERGEN,52.1,46.8,48.1,42.61968720458187,37.74393126304044,33.652172050938454
UNIVERSITY OF BERN,51.9,51.1,54.3,55.5875109201616,49.59188625351353,46.907893058893066
DARTMOUTH COLLEGE,51.3,45.8,43.1,42.71417618872607,40.13635967141118,38.42854008105316
POLITECNICO DI MILANO,50.9,48.7,50.4,52.345188277109685,51.603037142441245,50.37489404953897
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),50.7,46.6,46.2,46.47116585596035,49.06468021842576,48.30891493633324
UNIVERSITY OF LIVERPOOL,50.3,49.4,46.3,44.49637706878492,46.097001250356556,44.82023547101258
UNIVERSITY OF VIRGINIA,50.3,44.8,44.1,38.27670359539293,35.617508323716585,32.13676146433417
UNIVERSITY OF FLORIDA,49.8,45.9,47.7,45.25032805363469,43.45916996324876,40.8051781627852
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),49.7,48.2,49.4,46.58219462737632,51.15185919931826,49.70983313549419
UNIVERSITY OF TWENTE,49.7,46.6,45.2,42.3038310704706,42.05782290281229,39.946455642536534
UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),49.5,43.3,42.1,42.41552022101277,41.35785694156437,40.02147249780355
VRIJE UNIVERSITEIT BRUSSEL (VUB),49.5,45.2,44.5,38.44581330751689,37.26193803998817,34.0070795887253
UNIVERSITY OF ROCHESTER,49.3,45.5,47.3,51.05579884089967,45.693550699293404,44.08500576001325
UNIVERSITY OF READING,49.1,44.4,43.3,40.36248100626488,41.18590106070648,39.27800236788822
UNIVERSITY OF CAPE TOWN,48.9,43.9,44.1,39.31138341002178,39.296546714997454,36.55279705445555
KEIO UNIVERSITY,48.5,44.1,44.0,43.989369642047286,43.94930864937308,42.586651634170295
STOCKHOLM UNIVERSITY,48.1,43.9,44.8,50.028278712252366,50.02821281710629,50.04700736734396
TEXAS A&M UNIVERSITY,48.1,43.5,45.0,47.79475565289312,46.67624049711151,45.71658129469205
